 500.00  9.201691249106043E-04  9.201691249106043E-04  9.201691249106043E-04
 600.00  9.558947605173696E-04  9.558947605173696E-04  9.558947605173696E-04
 700.00  9.578793022658416E-04  9.578793022658416E-04  9.578793022658416E-04
 800.00  9.216652790921663E-04  9.216652790921663E-04  9.216652790921663E-04
 900.00  8.748114006434372E-04  8.748114006434372E-04  8.748114006434372E-04
1000.00  8.257351220204315E-04  8.257351220204315E-04  8.257351220204315E-04
1100.00  7.665700897792929E-04  7.665700897792929E-04  7.665700897792929E-04
1200.00  7.109843388807683E-04  7.109843388807683E-04  7.109843388807683E-04
1300.00  6.485012382905939E-04  6.485012382905939E-04  6.485012382905939E-04
1400.00  6.013484925315834E-04  6.013484925315834E-04  6.013484925315834E-04
1500.00  5.524798597050444E-04  5.524798597050444E-04  5.524798597050444E-04
1600.00  4.922967632114835E-04  4.922967632114835E-04  4.922967632114835E-04
1700.00  4.567299904716530E-04  4.567299904716530E-04  4.567299904716530E-04
1800.00  4.221941342411409E-04  4.221941342411409E-04  4.221941342411409E-04
1900.00  3.779555506082259E-04  3.779555506082259E-04  3.779555506082259E-04
