 500.00  8.957453801812160E-04  8.957453801812160E-04  8.957453801812160E-04
 600.00  9.626706330007551E-04  9.626706330007551E-04  9.626706330007551E-04
 700.00  9.778035841178756E-04  9.778035841178756E-04  9.778035841178756E-04
 800.00  9.591426054959070E-04  9.591426054959070E-04  9.591426054959070E-04
 900.00  9.199744466263930E-04  9.199744466263930E-04  9.199744466263930E-04
1000.00  8.693769317963951E-04  8.693769317963951E-04  8.693769317963951E-04
1100.00  8.126716604982992E-04  8.126716604982992E-04  8.126716604982992E-04
1200.00  7.541582228659690E-04  7.541582228659690E-04  7.541582228659690E-04
1300.00  6.953686042391909E-04  6.953686042391909E-04  6.953686042391909E-04
1400.00  6.389502812902734E-04  6.389502812902734E-04  6.389502812902734E-04
1500.00  5.844563122259918E-04  5.844563122259918E-04  5.844563122259918E-04
1600.00  5.335911118107334E-04  5.335911118107334E-04  5.335911118107334E-04
1700.00  4.858308440045594E-04  4.858308440045594E-04  4.858308440045594E-04
1800.00  4.413551191552941E-04  4.413551191552941E-04  4.413551191552941E-04
1900.00  4.001967311190979E-04  4.001967311190979E-04  4.001967311190979E-04
